,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,16,-10.0,0.05285336237568587,1108.6984857703558,"[0.2038811728395062, 0.2592361111111111]","[1106.1586529119463, 2.539832858409369]"
1,16,0.0,0.07491581557927526,965.3891544651736,"[0.2429398148148148, 0.3083719135802469]","[963.5796652032782, 1.8094892618954876]"
2,16,10.0,0.28933844640679773,644.7174131226866,"[0.4847993827160494, 0.596820987654321]","[644.2876788154058, 0.42973430728079204]"
3,16,20.0,0.7217670905135459,380.65171844439857,"[0.7620138888888889, 0.9471836419753087]","[380.6103675521402, 0.041350892258406796]"
4,16,30.0,0.8850638787675278,213.692597545963,"[0.8859799382716049, 0.998966049382716]","[213.69153556058026, 0.001061985382732349]"
5,16,40.0,0.9486310601947112,176.86156049016057,"[0.948858024691358, 0.9997608024691358]","[176.86130199674074, 0.00025849341983528784]"
