,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,0.0020922982395976224,22000.84875771605,"[0.0354320987654321, 0.05905092592592592]","[20760.231111111112, 1240.6176466049383]"
1,6,0.0,0.051635783179012344,17842.98675925926,"[0.220625, 0.2340432098765432]","[16831.619598765432, 1011.3671604938272]"
2,6,10.0,0.45338864907216886,7771.967199074074,"[0.6702006172839506, 0.6764969135802469]","[7283.542515432099, 488.4246836419753]"
3,6,20.0,0.8075179108200923,2600.814899691358,"[0.8935725308641975, 0.903695987654321]","[2455.0241820987653, 145.79071759259259]"
4,6,30.0,0.9304166604152377,971.8762654320988,"[0.9587577160493828, 0.9704398148148148]","[926.8112654320988, 45.065]"
5,6,40.0,0.9674580387421887,518.4409027777778,"[0.9778858024691358, 0.9893364197530864]","[503.9667824074074, 14.47412037037037]"
