,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,0.026816931370027434,1541.7389183058494,"[0.13402777777777777, 0.2000848765432099]","[1537.6114338644336, 4.127484441415914]"
1,4,0.0,0.03814706694863587,1428.8051619364755,"[0.15989197530864196, 0.23858024691358024]","[1425.9272768892506, 2.8778850472248863]"
2,4,10.0,0.15484758373342478,927.0239388085436,"[0.32720679012345677, 0.47324074074074074]","[926.3164336871066, 0.7075051214370066]"
3,4,20.0,0.5784513865073921,464.2133421784359,"[0.6499228395061728, 0.8900308641975309]","[464.1298553401847, 0.08348683825116823]"
4,4,30.0,0.8525281821559213,211.4005915687888,"[0.8562345679012345, 0.9956712962962962]","[211.39526319916257, 0.005328369626224639]"
5,4,40.0,0.9344225806374791,158.95973557727294,"[0.9354475308641975, 0.9989043209876544]","[158.95833117549734, 0.0014044017755939424]"
