,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,16,-10.0,0.04679639631915867,983.3098167973158,"[0.18925925925925927, 0.24726080246913582]","[980.665925360316, 2.6438914369997284]"
1,16,0.0,0.06580255308356196,900.7929412065996,"[0.22276234567901235, 0.2953935185185185]","[898.9285720089592, 1.8643691976404115]"
2,16,10.0,0.231835883380487,581.0837306712704,"[0.4243595679012346, 0.5463194444444445]","[580.5609002554573, 0.5228304158129873]"
3,16,20.0,0.6220743795010287,336.59536335024757,"[0.6787808641975308, 0.9164583333333334]","[336.53101308699337, 0.06435026325422379]"
4,16,30.0,0.8169800843168915,196.5150728800519,"[0.8186033950617284, 0.998016975308642]","[196.51353364168958, 0.00153923836230211]"
5,16,40.0,0.8773436828417924,169.039430025991,"[0.8779398148148149, 0.999320987654321]","[169.03887881518588, 0.0005512108051277543]"
