,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,16,-10.0,0.01893079739654778,1007.6522671709005,"[0.12377314814814815, 0.15294753086419752]","[999.4669636012939, 8.185303569606564]"
1,16,0.0,0.02412533126619418,933.3623174349557,"[0.14044753086419753, 0.1717746913580247]","[926.667256347302, 6.695061087653721]"
2,16,10.0,0.06041030217621171,603.7096013177388,"[0.22525462962962964, 0.26818672839506175]","[600.6363000057077, 3.0733013120311616]"
3,16,20.0,0.13902769543752858,334.8304750143373,"[0.34574845679012345, 0.4021064814814815]","[333.4971395676862, 1.3333354466511227]"
4,16,30.0,0.20512907998018595,210.254890326677,"[0.4246219135802469, 0.4830864197530864]","[209.40345899364084, 0.8514313330361728]"
5,16,40.0,0.21760400258154244,163.43411088651666,"[0.44462191358024694, 0.48941358024691356]","[162.75425461919005, 0.6798562673266095]"
