,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.043699594669257734,1015.3986654364442,"[0.17959876543209877, 0.2433179012345679]","[1012.6580909978763, 2.740574438567876]"
1,12,0.0,0.05960093938138242,956.2614987988253,"[0.21165895061728396, 0.2815895061728395]","[954.2441224638366, 2.0173763349887404]"
2,12,10.0,0.21202877425554414,631.2284187983876,"[0.3940817901234568, 0.5380324074074074]","[630.6908867278795, 0.5375320705081055]"
3,12,20.0,0.603142783767242,326.392534327771,"[0.6622608024691358, 0.910733024691358]","[326.32425883785834, 0.06827548991262955]"
4,12,30.0,0.8087039066072245,209.10912217476715,"[0.8111574074074074, 0.9969753086419753]","[209.1067439371561, 0.0023782376110536565]"
5,12,40.0,0.8691281320254153,161.51351367111258,"[0.8694367283950617, 0.9996450617283951]","[161.51316775176826, 0.0003459193443026542]"
