,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.019355053893270843,1036.7358541984397,"[0.12616512345679012, 0.1534104938271605]","[1028.8384376716544, 7.89741652678531]"
1,12,0.0,0.02542460419524463,954.0315041904892,"[0.14328703703703705, 0.17743827160493827]","[947.814557773183, 6.216946417306137]"
2,12,10.0,0.06535127731576743,643.4310696460441,"[0.23239197530864197, 0.28121141975308644]","[640.786849383866, 2.644220262178102]"
3,12,20.0,0.14701685420953362,346.8571433631821,"[0.35606481481481483, 0.4128935185185185]","[345.61655060351205, 1.2405927596700472]"
4,12,30.0,0.21921178626543208,206.79245839407272,"[0.43733024691358025, 0.50125]","[206.04967760016135, 0.7427807939113689]"
5,12,40.0,0.2320192429698217,171.1148505079105,"[0.4541358024691358, 0.5109027777777778]","[170.5191217676527, 0.5957287402577722]"
