,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.021057529756801554,1058.1198971031724,"[0.1319212962962963, 0.1596219135802469]","[1050.6171336216435, 7.502763481528955]"
1,12,0.0,0.02702310635288066,984.6633445645031,"[0.14958333333333335, 0.18065586419753085]","[978.6232652139503, 6.040079350552818]"
2,12,10.0,0.060337494105795614,663.4304579172104,"[0.2230324074074074, 0.2705324074074074]","[660.4652763741008, 2.9651815431097157]"
3,12,20.0,0.11366020072445131,346.25420893622993,"[0.31548611111111113, 0.36027006172839504]","[344.64374745607785, 1.6104614801520893]"
4,12,30.0,0.18851205513641214,217.96065031899604,"[0.41118827160493826, 0.4584567901234568]","[216.75170372212762, 1.208946596868425]"
5,12,40.0,0.2636204977209076,165.44320060878275,"[0.4967824074074074, 0.5306558641975309]","[164.63564380964087, 0.8075567991418738]"
