,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,16,-10.0,0.10358550936642662,681.63949190362,"[0.3645138888888889, 0.2841743827160494]","[630.3431472976757, 51.2963446059442]"
1,16,0.0,0.6572433583033265,224.2271364818816,"[0.8190972222222223, 0.8023996913580247]","[222.58109069745177, 1.6460457844298217]"
2,16,10.0,0.8882419679855396,170.62893170782243,"[0.9354398148148149, 0.9495447530864197]","[170.3520611819667, 0.27687052585573413]"
3,16,20.0,0.9541083739973898,162.84514688762124,"[0.9704243827160494, 0.9831867283950617]","[162.72591369044002, 0.11923319718122628]"
4,16,30.0,0.9743314580832763,160.20515336384207,"[0.9813966049382716, 0.992800925925926]","[160.12630390186996, 0.07884946197210238]"
5,16,40.0,0.9798767398619684,155.03865342697014,"[0.9835879629629629, 0.9962268518518519]","[155.00381993452123, 0.03483349244889696]"
