,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,5.694272976680385e-05,11672.35496806228,"[0.0030555555555555557, 0.018635802469135803]","[11008.781493192968, 663.5734748693118]"
1,4,0.0,7.975857338820301e-05,11137.295233347755,"[0.0035555555555555557, 0.022432098765432097]","[10519.130203215764, 618.1650301319919]"
2,4,10.0,0.00015895198902606312,9316.55311416562,"[0.006061728395061729, 0.026222222222222223]","[8813.047488009892, 503.5056261557278]"
3,4,20.0,0.007688234110653863,6474.735220345541,"[0.07293827160493827, 0.10540740740740741]","[6109.719769166348, 365.01545117919295]"
4,4,30.0,0.14990969753086422,3408.1133559609607,"[0.37060493827160496, 0.4045]","[3207.134370644849, 200.97898531611207]"
5,4,40.0,0.5027216274577047,1514.620944298903,"[0.6968086419753087, 0.721462962962963]","[1426.2259227101579, 88.3950215887451]"
