,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.04833276439376619,1142.2102707536087,"[0.1927006172839506, 0.2508179012345679]","[1139.4882587985514, 2.722011955057251]"
1,12,0.0,0.06870178302659656,1051.6694401150635,"[0.23102623456790122, 0.29737654320987655]","[1049.7531080155188, 1.9163320995447524]"
2,12,10.0,0.2619449921886908,692.6540986136059,"[0.4533179012345679, 0.5778395061728395]","[692.1943662038781, 0.45973240972781254]"
3,12,20.0,0.702264880484587,366.65138317969763,"[0.745871913580247, 0.9415354938271605]","[366.60609153550524, 0.04529164419237087]"
4,12,30.0,0.8877651557856082,221.3032962720322,"[0.8886496913580247, 0.9990046296296297]","[221.30230733970856, 0.0009889323236539132]"
5,12,40.0,0.9486221669714984,175.15280084177343,"[0.9488271604938272, 0.999783950617284]","[175.15252259568825, 0.000278246085179907]"
