,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,11,-10.0,0.02165885505972794,1091.7231081891782,"[0.13363425925925926, 0.16207561728395062]","[1084.5338027524485, 7.18930543672972]"
1,11,0.0,0.02791872427983539,978.5466737941357,"[0.15228395061728395, 0.18333333333333332]","[972.7805646484229, 5.7661091457127585]"
2,11,10.0,0.06718769290123457,608.2492971056104,"[0.236875, 0.283641975308642]","[605.6052701493342, 2.6440269562761585]"
3,11,20.0,0.12135863233024691,326.1110241679049,"[0.32125, 0.37777006172839506]","[324.52612090193054, 1.5849032659743505]"
4,11,30.0,0.19089309526701342,225.08301395940327,"[0.41347993827160495, 0.4616743827160494]","[223.96690448876433, 1.1161094706389336]"
5,11,40.0,0.25440215156321444,186.47070761678773,"[0.4897145061728395, 0.5194907407407408]","[185.63332114758097, 0.8373864692067737]"
