,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,0.022651799101699434,2031.0424151234567,"[0.12834104938271604, 0.1764969135802469]","[2025.350424382716, 5.69199074074074]"
1,6,0.0,0.033025468202255756,1809.809050925926,"[0.15600308641975308, 0.21169753086419754]","[1805.8109336419752, 3.9981172839506174]"
2,6,10.0,0.15383082204503887,1109.3242438271604,"[0.33992283950617286, 0.4525462962962963]","[1108.3718827160494, 0.9523611111111111]"
3,6,20.0,0.6278295042438271,526.0830864197532,"[0.7004166666666667, 0.8963657407407407]","[525.9755709876544, 0.10751543209876543]"
4,6,30.0,0.8788510040390185,323.43048611111107,"[0.8891975308641975, 0.9883641975308642]","[323.41875771604936, 0.011728395061728396]"
5,6,40.0,0.9479501868284179,261.0095601851852,"[0.9511574074074074, 0.9966280864197531]","[261.0059027777778, 0.0036574074074074074]"
