,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.022345208011831277,3052.081306811051,"[0.12020833333333333, 0.18588734567901236]","[2904.9311584537422, 147.150148357309]"
1,12,0.0,0.26173775720164605,512.780234279955,"[0.5011111111111111, 0.5223148148148148]","[498.61018632188024, 14.170047958074793]"
2,12,10.0,0.4656496920724737,340.39385918087345,"[0.6739351851851851, 0.6909413580246914]","[332.3727049766845, 8.021154204188994]"
3,12,20.0,0.5643288382582686,192.91585297178986,"[0.7485493827160494, 0.7538966049382716]","[190.39673123564285, 2.5191217361470004]"
4,12,30.0,0.6045110263298278,175.60254595081346,"[0.7709567901234567, 0.784104938271605]","[172.6860056613423, 2.916540289471144]"
5,12,40.0,0.614350170038866,184.27584573290784,"[0.7784567901234568, 0.7891898148148148]","[181.69907776715544, 2.5767679657523956]"
