,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,14,-10.0,0.3679280349794239,589.9208179012346,"[0.6029166666666667, 0.610246913580247]","[579.8769521604938, 10.04386574074074]"
1,14,0.0,0.7881455848241502,291.87954475308646,"[0.8927237654320987, 0.8828549382716049]","[290.8170293209877, 1.0625154320987655]"
2,14,10.0,0.9380780399805669,243.1917824074074,"[0.9669984567901234, 0.9700925925925926]","[243.0619135802469, 0.12986882716049383]"
3,14,20.0,0.973689831366217,240.7397762345679,"[0.9815895061728395, 0.9919521604938272]","[240.68166666666667, 0.05810956790123457]"
4,14,30.0,0.9842696846183889,238.8315586419753,"[0.9867746913580246, 0.9974614197530864]","[238.6993672839506, 0.13219135802469137]"
5,14,40.0,0.9876014869470164,229.08070216049381,"[0.9883564814814815, 0.9992361111111111]","[229.07989197530864, 0.0008101851851851852]"
