,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.02193810859148758,1069.7381456149992,"[0.13369598765432097, 0.16408950617283952]","[1062.7266055695104, 7.0115400454887205]"
1,10,0.0,0.02818062592878372,963.934585718121,"[0.15213734567901235, 0.18523148148148147]","[958.4321758861474, 5.50240983197357]"
2,10,10.0,0.06724138362578112,597.8540256178205,"[0.23646604938271604, 0.28435956790123457]","[595.2075395469737, 2.6464860708467635]"
3,10,20.0,0.12483664647157447,303.40244260993023,"[0.3240432098765432, 0.38524691358024693]","[301.9783703982201, 1.424072211710156]"
4,10,30.0,0.19849325530359319,203.5996393631425,"[0.4203317901234568, 0.4722299382716049]","[202.46696210965442, 1.1326772534880851]"
5,10,40.0,0.27211388394728314,172.9302481299823,"[0.5016280864197531, 0.5424614197530864]","[172.14075113124363, 0.7894969987386639]"
