,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.020707434913694558,1068.401938682021,"[0.1278858024691358, 0.16192129629629629]","[1061.3084096878467, 7.093528994174295]"
1,10,0.0,0.026505516022709952,961.7913292651436,"[0.14677469135802468, 0.18058641975308642]","[955.8544954508037, 5.936833814339961]"
2,10,10.0,0.06794080629143803,607.6143525777064,"[0.23633487654320987, 0.28747685185185184]","[605.1070754591469, 2.507277118559508]"
3,10,20.0,0.16313147249133136,324.7810159873027,"[0.36866512345679014, 0.4424922839506173]","[323.66947303325173, 1.1115429540509267]"
4,10,30.0,0.22650099290552125,231.68850795685844,"[0.4447453703703704, 0.5092824074074074]","[230.94470855546768, 0.7437994013907732]"
5,10,40.0,0.24230188406159506,178.6990956742988,"[0.4604243827160494, 0.5262577160493828]","[178.1175109189233, 0.5815847553755055]"
