,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.1775552728123571,2428.7441820987656,"[0.41627314814814814, 0.4265354938271605]","[2338.420617283951, 90.32356481481482]"
1,12,0.0,0.7595386336519776,393.9457716049383,"[0.8774922839506173, 0.8655787037037037]","[390.0857175925926, 3.860054012345679]"
2,12,10.0,0.9318341085700541,298.0222839506173,"[0.9640663580246913, 0.9665663580246914]","[297.1170524691358, 0.9052314814814815]"
3,12,20.0,0.9730677045229387,256.8308950617284,"[0.9807716049382716, 0.9921450617283951]","[256.48033950617287, 0.35055555555555556]"
4,12,30.0,0.9842282328818016,245.3961111111111,"[0.9864660493827161, 0.9977314814814815]","[245.27180555555555, 0.12430555555555556]"
5,12,40.0,0.9876006415156798,232.5225925925926,"[0.9882793209876544, 0.9993132716049383]","[232.422137345679, 0.10045524691358025]"
