,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.1793746215801707,2623.9115895061727,"[0.4153317901234568, 0.4318827160493827]","[2522.4220679012346, 101.48952160493828]"
1,10,0.0,0.7332603523662552,380.80425925925925,"[0.8579861111111111, 0.8546296296296296]","[376.41148919753084, 4.392770061728395]"
2,10,10.0,0.9294952370065539,274.26398919753086,"[0.9623456790123457, 0.9658641975308642]","[273.26149691358023, 1.0024922839506172]"
3,10,20.0,0.9723190452460563,264.3077469135802,"[0.9801466049382717, 0.9920138888888889]","[263.73809413580244, 0.5696527777777778]"
4,10,30.0,0.9844803869455876,238.36958333333334,"[0.986550925925926, 0.9979012345679013]","[238.12132716049382, 0.24825617283950618]"
5,10,40.0,0.9875183434785093,241.8889660493827,"[0.9884259259259259, 0.9990817901234568]","[241.7528935185185, 0.13607253086419754]"
