,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.026498491917200124,1483.2675277064577,"[0.14411265432098766, 0.18387345679012346]","[1378.635799659845, 104.63172804661272]"
1,10,0.0,0.5260259147924288,299.1901172938597,"[0.7046373456790124, 0.746520061728395]","[294.7787467936996, 4.41137050016012]"
2,10,10.0,0.810822229604862,201.60455180128434,"[0.8927469135802469, 0.908233024691358]","[200.25646731241042, 1.3480844888739099]"
3,10,20.0,0.9158589191815272,181.92156840541665,"[0.9487731481481482, 0.9653086419753086]","[181.22368236234755, 0.6978860430691164]"
4,10,30.0,0.9457528668457552,171.92682193917707,"[0.9617901234567902, 0.9833256172839506]","[171.6200197497265, 0.3068021894505577]"
5,10,40.0,0.9608847467516385,162.37430034779223,"[0.9720756172839506, 0.9884876543209876]","[162.08969885448514, 0.28460149330709195]"
