,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,8,-10.0,0.04034070781654855,1258.6917207900945,"[0.17267746913580248, 0.2336188271604938]","[1255.6147890526613, 3.0769317374330827]"
1,8,0.0,0.05738697892851699,1186.0337182274127,"[0.2060493827160494, 0.2785108024691358]","[1183.849349955234, 2.1843682721787614]"
2,8,10.0,0.2240165162751486,758.4260351146357,"[0.41184413580246915, 0.5439351851851851]","[757.8964450882752, 0.5295900263604973]"
3,8,20.0,0.6723726799458924,407.7290518502255,"[0.7225617283950617, 0.9305401234567902]","[407.6760451251585, 0.053006725067018895]"
4,8,30.0,0.8860291161789361,228.83348964009843,"[0.8869598765432098, 0.9989506172839506]","[228.8323893609105, 0.0011002791879260493]"
5,8,40.0,0.9462075653006402,180.38550049762068,"[0.946412037037037, 0.999783950617284]","[180.38527639132025, 0.00022410630043651528]"
