,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,0.0010198987744817862,22450.160532407408,"[0.023557098765432098, 0.04329475308641975]","[21183.383919753087, 1266.776612654321]"
1,4,0.0,0.025497788065843623,19251.46037037037,"[0.15166666666666667, 0.16811728395061729]","[18212.321929012345, 1039.1384413580247]"
2,4,10.0,0.3372470657578875,9570.684683641975,"[0.5778626543209876, 0.5836111111111111]","[9057.667353395062, 513.0173302469136]"
3,4,20.0,0.7759650115859815,2924.6882330246917,"[0.8759336419753087, 0.8858719135802469]","[2778.6731712962965, 146.01506172839507]"
4,4,30.0,0.9267524035255678,1018.3083179012345,"[0.956983024691358, 0.9684104938271605]","[977.1028163580247, 41.20550154320988]"
5,4,40.0,0.9690779365045344,494.9310030864197,"[0.978942901234568, 0.9899228395061729]","[482.7386111111111, 12.192391975308642]"
