,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,5.09320987654321e-05,14175.22078623876,"[0.0027530864197530865, 0.0185]","[13368.699720954812, 806.5210652839484]"
1,4,0.0,8.287921048620638e-05,12334.684183761354,"[0.0038827160493827163, 0.02134567901234568]","[11664.056610631385, 670.6275731299675]"
2,4,10.0,0.0003686497104099985,6783.945098445519,"[0.009882716049382716, 0.03730246913580247]","[6416.582145149828, 367.3629532956911]"
3,4,20.0,0.009932809785093736,2836.0852168356337,"[0.07759259259259259, 0.12801234567901235]","[2690.855110603089, 145.23010623254441]"
4,4,30.0,0.16294815363511658,1231.8535879875128,"[0.36750617283950615, 0.4433888888888889]","[1174.8432153388324, 57.01037264868042]"
5,4,40.0,0.5114510102499619,553.3421698804254,"[0.6972160493827161, 0.7335617283950617]","[530.9900928042382, 22.352077076187197]"
