,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,8,-10.0,0.023547981145690445,1150.6889118814797,"[0.13864969135802468, 0.16983796296296297]","[1144.4396384497063, 6.249273431773507]"
1,8,0.0,0.030315875771604942,1057.1937201973888,"[0.15731481481481482, 0.19270833333333334]","[1052.2584477030448, 4.935272494344003]"
2,8,10.0,0.07373697220078874,709.0506030738034,"[0.24573302469135802, 0.30006944444444444]","[706.614342597519, 2.4362604762843314]"
3,8,20.0,0.14129358704608674,395.75844020152863,"[0.3465817901234568, 0.4076774691358025]","[394.33117997698446, 1.4272602245441814]"
4,8,30.0,0.21162687328532237,205.37353327716573,"[0.4313888888888889, 0.490570987654321]","[204.3046168576281, 1.0689164195376164]"
5,8,40.0,0.2745840195020766,167.89825469695165,"[0.5025077160493827, 0.5464274691358024]","[167.11807605643148, 0.7801786405201829]"
