,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.012288683425259107,4132.695469588264,"[0.0848533950617284, 0.14482253086419752]","[3919.4373197834843, 213.25814980478006]"
1,10,0.0,0.23284935574559898,637.7788003649081,"[0.46554783950617284, 0.500162037037037]","[615.1707939134387, 22.608006451469404]"
2,10,10.0,0.45931111664809104,309.32273559156056,"[0.6687268518518519, 0.6868441358024692]","[301.85122292383625, 7.471512667724293]"
3,10,20.0,0.574437789232777,236.38970099867802,"[0.748016975308642, 0.7679475308641975]","[230.92692699113132, 5.46277400754671]"
4,10,30.0,0.6053786386888431,192.35834295085667,"[0.7717746913580247, 0.7843981481481481]","[188.80412850639362, 3.5542144444630304]"
5,10,40.0,0.6151488839710981,176.91289744914044,"[0.7766743827160494, 0.7920293209876543]","[173.82851912470136, 3.0843783244390948]"
