,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,13,-10.0,0.020135188340668346,1056.6485267614119,"[0.13013117283950618, 0.15472993827160494]","[1048.4473137159737, 8.201213045438253]"
1,13,0.0,0.026245148772100293,966.6107432786113,"[0.14777006172839507, 0.17760802469135803]","[960.1641177749013, 6.446625503709899]"
2,13,10.0,0.06233309399291266,597.2539454247477,"[0.2279706790123457, 0.2734259259259259]","[594.2792825174702, 2.9746629072776036]"
3,13,20.0,0.11484120239388051,322.29135383571133,"[0.3166280864197531, 0.36270061728395064]","[320.49692794770584, 1.7944258880054647]"
4,13,30.0,0.18983676131925392,205.5261825708185,"[0.41545524691358027, 0.4569367283950617]","[204.09662409762743, 1.4295584731910693]"
5,13,40.0,0.2551315885297592,171.685948220263,"[0.49222993827160494, 0.5183179012345679]","[170.71260796935388, 0.9733402509090956]"
