,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,4.898060032769395e-05,11708.754590910632,"[0.003387345679012346, 0.014459876543209876]","[11044.42108042722, 664.333510483411]"
1,6,0.0,8.335714830056394e-05,11013.260255632462,"[0.0036496913580246915, 0.022839506172839506]","[10397.164225258071, 616.09603037439]"
2,6,10.0,0.0003900867817405883,8695.942864359165,"[0.011419753086419753, 0.034158950617283954]","[8192.800592378528, 503.1422719806374]"
3,6,20.0,0.009023623018594728,6026.416763605257,"[0.08104938271604939, 0.11133487654320988]","[5649.165079452782, 377.2516841524747]"
4,6,30.0,0.09292923084800335,3699.227601001655,"[0.2890586419753086, 0.3214891975308642]","[3447.5265589136125, 251.70104208804264]"
5,6,40.0,0.22494683570530405,2533.7700138814394,"[0.4623148148148148, 0.48656635802469134]","[2351.735778982637, 182.0342348988025]"
