,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,14,-10.0,0.05095239673830208,1162.0912629791035,"[0.1994753086419753, 0.2554320987654321]","[1159.452366321826, 2.638896657277521]"
1,14,0.0,0.0725350406878715,1062.302742381069,"[0.23835648148148147, 0.30431327160493826]","[1060.4624405534985, 1.840301827570656]"
2,14,10.0,0.27513551311728396,640.1229935822986,"[0.465625, 0.590895061728395]","[639.6804468051071, 0.44254677719148683]"
3,14,20.0,0.7122257478495084,313.0751629514976,"[0.7538811728395062, 0.9447453703703703]","[313.0323589614008, 0.042803990096778405]"
4,14,30.0,0.8877753039980566,217.45394063236733,"[0.888804012345679, 0.9988425925925926]","[217.45276143335275, 0.0011791990145851388]"
5,14,40.0,0.9491251581313824,172.20086257560538,"[0.9493595679012345, 0.9997530864197531]","[172.20060356208904, 0.00025901351633058516]"
