,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,12,-10.0,0.0280325611925583,1700.4154783950619,"[0.15118055555555557, 0.18542438271604939]","[1695.272013888889, 5.1434645061728395]"
1,12,0.0,0.040499183384773665,1504.0131481481483,"[0.1815277777777778, 0.22310185185185186]","[1500.407013888889, 3.6061342592592593]"
2,12,10.0,0.18993152553917086,978.130385802469,"[0.39449845679012346, 0.4814506172839506]","[977.2743209876543, 0.8560648148148148]"
3,12,20.0,0.6818384521223899,516.6170138888889,"[0.7531172839506173, 0.905354938271605]","[516.5164969135802, 0.10051697530864198]"
4,12,30.0,0.8873284397743294,322.3567052469136,"[0.9005941358024692, 0.985270061728395]","[322.3415277777778, 0.015177469135802469]"
5,12,40.0,0.9486167734767947,258.3155015432099,"[0.9526080246913581, 0.9958101851851852]","[258.3095601851852, 0.005941358024691358]"
