,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,8,-10.0,0.003027289213725042,3917.4688301141155,"[0.02572530864197531, 0.11767746913580247]","[3747.689500330178, 169.77932978393764]"
1,8,0.0,0.3342880233339049,562.5438966702092,"[0.5388657407407408, 0.6203549382716049]","[550.6205457954991, 11.92335087471011]"
2,8,10.0,0.6998576490102499,288.646775185887,"[0.814891975308642, 0.8588348765432099]","[285.53421009804094, 3.112565087846046]"
3,8,20.0,0.8292086591220851,232.7381323795779,"[0.8891435185185185, 0.9325925925925926]","[231.0661216311304, 1.6720107484475188]"
4,8,30.0,0.9048402123461553,192.92211147000523,"[0.9423070987654321, 0.9602391975308642]","[191.86020172842854, 1.0619097415767083]"
5,8,40.0,0.91597830486254,185.42262224533806,"[0.9469212962962963, 0.9673225308641975]","[184.50403036676585, 0.918591878572223]"
