,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,16,-10.0,0.029346415847431796,1585.1259645061727,"[0.15602623456790124, 0.18808641975308643]","[1580.0774768518518, 5.048487654320987]"
1,16,0.0,0.04255173236025377,1456.4674459876544,"[0.1896064814814815, 0.22442129629629629]","[1452.9088580246914, 3.558587962962963]"
2,16,10.0,0.20698941436614085,942.1922299382716,"[0.41702932098765433, 0.4963425925925926]","[941.3662037037037, 0.8260262345679013]"
3,16,20.0,0.7082771202465326,521.2323070987654,"[0.7792515432098766, 0.9089197530864197]","[521.1350771604938, 0.09722993827160493]"
4,16,30.0,0.8904744109367855,326.6146219135802,"[0.9050771604938271, 0.9838657407407407]","[326.59778549382713, 0.01683641975308642]"
5,16,40.0,0.947592370220336,266.65280092592593,"[0.9521990740740741, 0.995162037037037]","[266.64780092592594, 0.005]"
