,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,9,-10.0,0.02197438527615836,1136.9700786673468,"[0.13397376543209877, 0.16402006172839506]","[1130.1068674515884, 6.863211215758451]"
1,9,0.0,0.02921937335676726,997.1282982387542,"[0.15397376543209876, 0.18976851851851853]","[991.54625084702, 5.582047391734144]"
2,9,10.0,0.072042300144795,631.7158465639193,"[0.24570216049382715, 0.2932098765432099]","[629.2037837734183, 2.5120627905009463]"
3,9,20.0,0.13449812242798354,309.10327106804385,"[0.33671296296296294, 0.39944444444444444]","[307.71186165113085, 1.3914094169130147]"
4,9,30.0,0.1974181548044315,203.42631179284626,"[0.4228780864197531, 0.46684413580246914]","[202.35991327317265, 1.0663985196736077]"
5,9,40.0,0.25520389196101967,177.64293472652065,"[0.49073302469135804, 0.5200462962962963]","[176.8421999841842, 0.800734742336455]"
