,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,0.024110843192729766,1165.9698503388522,"[0.1376851851851852, 0.17511574074074074]","[1160.5118660585435, 5.457984280308733]"
1,6,0.0,0.03231738343764289,1077.802446354454,"[0.1580324074074074, 0.20449845679012346]","[1073.5806829406245, 4.221763413829596]"
2,6,10.0,0.0844667382306432,671.8929333033248,"[0.2592206790123457, 0.3258487654320988]","[669.964757396309, 1.928175907015798]"
3,6,20.0,0.17964208390489253,349.9975027475349,"[0.3831481481481481, 0.468858024691358]","[348.84639794158096, 1.1511048059539293]"
4,6,30.0,0.24826256971831653,210.79809693657973,"[0.4640354938271605, 0.5350077160493827]","[209.95518114653282, 0.8429157900468891]"
5,6,40.0,0.29048827142632605,178.49054027619655,"[0.512800925925926, 0.5664737654320988]","[177.80572943838158, 0.684810837814974]"
