,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,0.034619946642565916,1129.8759857108755,"[0.15361882716049383, 0.22536265432098765]","[1126.712773800795, 3.1632119100803737]"
1,6,0.0,0.04832675337696235,1054.8910996308734,"[0.18378858024691358, 0.26294753086419753]","[1052.5811979751238, 2.3099016557495684]"
2,6,10.0,0.1663954150234339,670.320669610493,"[0.33825617283950615, 0.4919212962962963]","[669.6696082356891, 0.6510613748039195]"
3,6,20.0,0.5341178806346213,370.662806259024,"[0.5964969135802469, 0.8954243827160494]","[370.58247958241594, 0.08032667660806904]"
4,6,30.0,0.7397680118550907,219.20948365334755,"[0.7434104938271605, 0.9951003086419753]","[219.20560226035988, 0.0038813929876525726]"
5,6,40.0,0.7850659368569959,194.2957480664478,"[0.7859027777777777, 0.9989351851851852]","[194.2949201212385, 0.0008279452093043905]"
