,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,8,-10.0,0.1621708635188043,4383.78924382716,"[0.39184413580246913, 0.41386574074074073]","[4233.217862654321, 150.5713811728395]"
1,8,0.0,0.7335938327570112,544.2686342592592,"[0.860108024691358, 0.852908950617284]","[536.1869290123457, 8.08170524691358]"
2,8,10.0,0.9298027817072474,316.95216820987656,"[0.9635030864197531, 0.9650231481481482]","[314.75449845679015, 2.1976697530864198]"
3,8,20.0,0.9723461394151997,274.28201388888886,"[0.9812577160493827, 0.9909182098765432]","[273.22564814814814, 1.0563657407407407]"
4,8,30.0,0.9839503741331352,246.6980401234568,"[0.986820987654321, 0.9970910493827161]","[246.27356481481482, 0.4244753086419753]"
5,8,40.0,0.9875949412246608,248.05760802469135,"[0.9884567901234568, 0.999128086419753]","[247.6938348765432, 0.36377314814814815]"
