,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,0.021217196073388202,1245.3465176904522,"[0.12212962962962963, 0.17372685185185185]","[1236.8466075010133, 8.49991018943894]"
1,4,0.0,0.027934707754629633,1140.8225935945547,"[0.14099537037037038, 0.198125]","[1134.009800128199, 6.812793466355633]"
2,4,10.0,0.07617815214906265,759.8281360290049,"[0.2349074074074074, 0.32429012345679015]","[757.008628411008, 2.8195076179969396]"
3,4,20.0,0.19091157996827848,384.4723751958191,"[0.38006944444444446, 0.5023070987654321]","[383.32570910344447, 1.1466660923746455]"
4,4,30.0,0.29008499049782804,200.22220606346963,"[0.48017746913580245, 0.6041203703703704]","[199.58544715618655, 0.6367589072830703]"
5,4,40.0,0.3102375106571978,161.89229567031933,"[0.5008256172839506, 0.6194521604938271]","[161.3728681340535, 0.5194275362658242]"
