,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,0.02838359601242189,1246.503548308995,"[0.1372067901234568, 0.2068672839506173]","[1242.818987887871, 3.68456042112422]"
1,4,0.0,0.04060787894375858,1122.530797141264,"[0.16305555555555556, 0.24904320987654321]","[1119.9454885073953, 2.5853086338687232]"
2,4,10.0,0.13281938204923033,749.9630564156996,"[0.29010030864197534, 0.4578395061728395]","[749.2009303379347, 0.7621260777649518]"
3,4,20.0,0.4480707647462277,390.21955638141003,"[0.5215740740740741, 0.8590740740740741]","[390.11097852422336, 0.10857785718667164]"
4,4,30.0,0.6736557066615226,195.46285564107626,"[0.6849768518518519, 0.9834722222222222]","[195.44962014627185, 0.013235494804402996]"
5,4,40.0,0.7244094409079218,145.4452057722819,"[0.7282021604938271, 0.9947916666666666]","[145.4414467257383, 0.003759046543579199]"
