,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,4,-10.0,0.022619114488073463,1324.4041169339412,"[0.12815586419753086, 0.1764969135802469]","[1316.8621274328607, 7.541989501080425]"
1,4,0.0,0.03067767751676574,1220.4007290749994,"[0.14841820987654322, 0.20669753086419754]","[1215.1211322638655, 5.279596811133732]"
2,4,10.0,0.0903468233215211,799.809353540987,"[0.2596219135802469, 0.3479938271604938]","[797.3865691713474, 2.4227843696395137]"
3,4,20.0,0.21809964420438957,409.19993428135814,"[0.41388888888888886, 0.5269521604938272]","[408.2257484194046, 0.9741858619535356]"
4,4,30.0,0.28856588541666667,195.85799513753662,"[0.4948611111111111, 0.583125]","[195.16977240154145, 0.6882227359951808]"
5,4,40.0,0.3315179644633059,153.19770123103774,"[0.5435339506172839, 0.6099305555555555]","[152.6321294604993, 0.56557177053843]"
