,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,6,-10.0,0.034411582171162934,1333.292294876287,"[0.1557716049382716, 0.2209104938271605]","[1329.849863552019, 3.4424313242679134]"
1,6,0.0,0.04892057708428593,1225.211785956465,"[0.1858179012345679, 0.2632716049382716]","[1222.8099643238584, 2.4018216326066497]"
2,6,10.0,0.19804796310585276,749.8630378374713,"[0.38338734567901234, 0.5165740740740741]","[749.2772037764634, 0.5858340610079974]"
3,6,20.0,0.6413073192920287,381.98901135989115,"[0.7000617283950618, 0.9160725308641975]","[381.925817394435, 0.06319396545613999]"
4,6,30.0,0.8757496968354671,221.07528920928584,"[0.8766358024691357, 0.9989891975308642]","[221.07419419753433, 0.0010950117515286884]"
5,6,40.0,0.945343554479119,177.5828262854351,"[0.9455478395061728, 0.999783950617284]","[177.5825794655069, 0.0002468199281684066]"
