,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.02728446263907941,1732.8471141975308,"[0.14679783950617284, 0.1858641975308642]","[1727.599660493827, 5.2474537037037035]"
1,10,0.0,0.038505298056222374,1540.2652546296297,"[0.1752391975308642, 0.21972993827160495]","[1536.5871913580247, 3.6780632716049384]"
2,10,10.0,0.18166517328960904,940.7088117283951,"[0.38131944444444443, 0.47641203703703705]","[939.8432638888889, 0.8655478395061729]"
3,10,20.0,0.6704105926592746,477.45023148148147,"[0.7420061728395062, 0.9035108024691358]","[477.3510262345679, 0.09920524691358025]"
4,10,30.0,0.8856671180198331,315.9927391975309,"[0.8988657407407408, 0.9853163580246913]","[315.977237654321, 0.015501543209876543]"
5,10,40.0,0.949213218735711,268.15020833333335,"[0.9528009259259259, 0.9962345679012345]","[268.1463966049383, 0.0038117283950617285]"
