,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,15,-10.0,0.01982823216735254,1045.3015370610622,"[0.12919753086419752, 0.15347222222222223]","[1036.9013398154286, 8.400197245633517]"
1,15,0.0,0.024963674196959308,936.4260165341093,"[0.14449074074074075, 0.17277006172839507]","[929.4563011871768, 6.969715346932555]"
2,15,10.0,0.0602474622770919,620.6653095379471,"[0.22518518518518518, 0.2675462962962963]","[617.4347562874095, 3.2305532505375467]"
3,15,20.0,0.11056652234796524,316.4343101716008,"[0.30949074074074073, 0.35725308641975306]","[314.704128131779, 1.730182039821836]"
4,15,30.0,0.18752961724584669,207.33172182176182,"[0.4133024691358025, 0.45373456790123456]","[206.14088414645127, 1.190837675310535]"
5,15,40.0,0.25590007656511965,178.7368225784415,"[0.49227623456790126, 0.5198302469135803]","[177.896719370409, 0.8401032080324982]"
