,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.2998677378638927,1111.6334027777777,"[0.5419598765432099, 0.5533024691358025]","[1078.2016666666666, 33.431736111111114]"
1,10,0.0,0.7689097929526748,307.5673919753087,"[0.8827083333333333, 0.8710802469135802]","[305.9194830246914, 1.647908950617284]"
2,10,10.0,0.9359803981981596,264.98824845679013,"[0.9663657407407408, 0.9685570987654321]","[264.50195216049383, 0.4862962962962963]"
3,10,20.0,0.9740322754724889,251.11685956790126,"[0.9825308641975309, 0.9913503086419753]","[250.99141975308643, 0.1254398148148148]"
4,10,30.0,0.9839577500452484,241.85023919753087,"[0.9867978395061728, 0.9971219135802469]","[241.7541589506173, 0.09608024691358025]"
5,10,40.0,0.987494968850023,237.25921296296298,"[0.9883796296296297, 0.999104938271605]","[237.21600308641976, 0.043209876543209874]"
