,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,14,-10.0,0.019563087634316415,1069.8444608542604,"[0.12924382716049382, 0.15136574074074075]","[1061.3866436161652, 8.45781723809515]"
1,14,0.0,0.025376315538789822,943.5301975368614,"[0.14530864197530866, 0.17463734567901235]","[936.705825063963, 6.824372472898396]"
2,14,10.0,0.057114752240988415,612.758373553736,"[0.21820216049382715, 0.26175154320987654]","[609.2441890301453, 3.5141845235906146]"
3,14,20.0,0.11055498643737617,319.19776990163336,"[0.3077237654320988, 0.359266975308642]","[317.37868899869727, 1.8190809029360828]"
4,14,30.0,0.1831429012345679,207.56958826325328,"[0.40641975308641975, 0.450625]","[206.26187669384296, 1.307711569410326]"
5,14,40.0,0.2615378972336534,181.4447991522595,"[0.49425925925925923, 0.5291512345679013]","[180.57201233112576, 0.8727868211337213]"
