,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,14,-10.0,0.04507120550173373,988.7950643526617,"[0.1862577160493827, 0.24198302469135802]","[986.0440936409116, 2.7509707117501985]"
1,14,0.0,0.06325680453151196,932.6605972433621,"[0.21813271604938272, 0.28999228395061727]","[930.7400424598463, 1.9205547835157362]"
2,14,10.0,0.21903011313300183,587.1383656504241,"[0.40489969135802467, 0.5409490740740741]","[586.6028908004996, 0.535474849924518]"
3,14,20.0,0.6172516303726565,297.3874021493377,"[0.6732407407407407, 0.9168364197530864]","[297.3246270236512, 0.06277512568647477]"
4,14,30.0,0.8174103275391519,187.84650199300475,"[0.8196682098765432, 0.9972453703703704]","[187.84427055254193, 0.0022314404628304488]"
5,14,40.0,0.8755823950236244,155.81435909027462,"[0.8757716049382716, 0.999783950617284]","[155.81418223235565, 0.0001768579189628812]"
