,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,8,-10.0,0.10856287776491771,6363.700432098766,"[0.3160108024691358, 0.3435416666666667]","[6127.618356481482, 236.08207561728395]"
1,8,0.0,0.7024869598765432,567.567399691358,"[0.840462962962963, 0.8358333333333333]","[558.3385339506173, 9.22886574074074]"
2,8,10.0,0.9234007951817559,324.30875,"[0.9606481481481481, 0.9612268518518519]","[322.0680709876543, 2.2406790123456792]"
3,8,20.0,0.971330448388203,269.43381944444445,"[0.9803472222222223, 0.9908024691358025]","[268.555987654321, 0.8778317901234568]"
4,8,30.0,0.9839076946159121,240.34880401234568,"[0.9863888888888889, 0.9974845679012345]","[239.85327932098767, 0.4955246913580247]"
5,8,40.0,0.9875939445682823,241.67774691358025,"[0.9883641975308642, 0.9992206790123457]","[241.55640432098767, 0.1213425925925926]"
