,antenna_number,SNR,accuracyOfModel,mse,accuracy_per_target,mean_squared_error_per_target
0,10,-10.0,0.04490872735196616,1197.57835527567,"[0.1825077160493827, 0.24606481481481482]","[1194.700820443169, 2.877534832500838]"
1,10,0.0,0.06369555207857035,1051.870770279062,"[0.22008487654320988, 0.2894135802469136]","[1049.830657485059, 2.0401127940032087]"
2,10,10.0,0.24837199681355743,655.3269531450156,"[0.4403240740740741, 0.5640663580246914]","[654.8388380301484, 0.48811511486723513]"
3,10,20.0,0.6888041392794544,338.4187282051148,"[0.7373765432098766, 0.9341280864197531]","[338.3682444993471, 0.05048370576770659]"
4,10,30.0,0.8872461280435527,220.0822218953838,"[0.8881095679012345, 0.9990277777777777]","[220.0811356485067, 0.0010862468771219652]"
5,10,40.0,0.9470423392013413,179.62173087259973,"[0.9472762345679012, 0.9997530864197531]","[179.62150185509626, 0.00022901750348170116]"
